#Char	Unicode	Big5
劑	5291	V
力	529B	V
功	529F	V
加	52A0	V
劣	52A3	V
助	52A9	V
努	52AA	V
劫	52AB	V
勁	52C1	V
勃	52C3	V
勇	52C7	V
勉	52C9	V
勍	52CD	V
勒	52D2	V
動	52D5	V
勘	52D8	V
務	52D9	V
勝	52DD	V
勞	52DE	V
募	52DF	V
勢	52E2	V
勤	52E4	V
勥	52E5	
勳	52F3	V
勵	52F5	V
勸	52F8	V
勻	52FB	V
勼	52FC	V
勾	52FE	V
勿	52FF	V
包	5305	V
匆	5306	V
匏	530F	V
化	5316	V
北	5317	V
匙	5319	V
匠	5320	V
匡	5321	V
匪	532A	V
匯	532F	V
匹	5339	V
匼	533C	V
匾	533E	V
匿	533F	V
區	5340	V
十	5341	V
千	5343	V
升	5347	V
午	5348	V
半	534A	V
卌	534C	V
卑	5351	V
卒	5352	V
卓	5353	V
協	5354	V
南	5357	V
博	535A	V
卜	535C	V
占	5360	V
卡	5361	V
卦	5366	V
卯	536F	V
印	5370	V
危	5371	V
即	5373	V
卵	5375	V
卷	5377	V
卸	5378	V
卻	537B	V
卿	537F	V
厄	5384	V
厘	5398	V
厚	539A	V
厝	539D	V
原	539F	V
厭	53AD	V
厲	53B2	V
去	53BB	V
參	53C3	V
又	53C8	V
叉	53C9	V
及	53CA	V
友	53CB	V
反	53CD	V
叔	53D4	V
取	53D6	V
受	53D7	V
叛	53DB	V
叡	53E1	V
叢	53E2	V
口	53E3	V
古	53E4	V
句	53E5	V
另	53E6	V
叨	53E8	V
叩	53E9	V
只	53EA	V
叫	53EB	V
召	53EC	V
叭	53ED	V
叮	53EE	V
可	53EF	V
台	53F0	V
史	53F2	V
右	53F3	V
司	53F8	V
各	5404	V
合	5408	V
吉	5409	V
吊	540A	V
吋	540B	V
同	540C	V
名	540D	V
后	540E	V
吏	540F	V
吐	5410	V
向	5411	V
吒	5412	V
君	541B	V
吝	541D	V
吞	541E	V
吟	541F	V
吠	5420	V
否	5426	V
吧	5427	V
吩	5429	V
含	542B	V
吭	542D	V
吮	542E	V
吱	5431	V
吳	5433	V
吵	5435	V
吶	5436	V
吸	5438	V
吹	5439	V
吻	543B	V
吼	543C	V
吾	543E	V
呂	5442	V
呃	5443	V
呆	5446	V
呈	5448	V
告	544A	V
呔	5454	V
呢	5462	V
呧	5467	V
周	5468	V
呱	5471	V
呲	5472	V
味	5473	V
呴	5474	V
呵	5475	V
呸	5478	V
呻	547B	V
呼	547C	V
命	547D	V
呾	547E	V
呿	547F	V
咂	5482	V
咇	5487	V
和	548C	V
咍	548D	V
咎	548E	V
咐	5490	V
咒	5492	V
咖	5496	V
咧	54A7	V
咩	54A9	V
咪	54AA	V
咫	54AB	V
咬	54AC	V
咯	54AF	V
咱	54B1	V
咳	54B3	V
咻	54BB	V
咽	54BD	V
咾	54BE	V
哀	54C0	V
品	54C1	V
哆	54C6	V
哈	54C8	V
哉	54C9	V
哎	54CE	V
哖	54D6	V
員	54E1	V
哥	54E5	V
哨	54E8	V
哩	54E9	V
哪	54EA	V
哭	54ED	V
哲	54F2	V
哹	54F9	
哺	54FA	V
哼	54FC	V
哽	54FD	V
唅	5505	V
唆	5506	V
唇	5507	V
唉	5509	V
唌	550C	V
唏	550F	V
唐	5510	V
唔	5514	V
唚	551A	V
唬	552C	V
唭	552D	V
售	552E	V
唯	552F	V
唱	5531	V
唷	5537	V
唸	5538	V
唾	553E	V
唿	553F	
啄	5544	V
商	5546	V
啉	5549	
啊	554A	V
問	554F	V
啖	5556	V
啞	555E	V
啟	555F	V
啡	5561	V
啥	5565	V
啦	5566	V
啼	557C	V
啾	557E	V
喀	5580	V
喂	5582	V
喃	5583	V
善	5584	V
喇	5587	V
喈	5588	V
喉	5589	V
喊	558A	V
喋	558B	V
喌	558C	V
喑	5591	V
喓	5593	V
喔	5594	V
喘	5598	V
喙	5599	V
喚	559A	V
喜	559C	V
喝	559D	V
喢	55A2	V
喧	55A7	V
喨	55A8	V
喪	55AA	V
喬	55AC	V
單	55AE	V
喲	55B2	V
喳	55B3	V
喻	55BB	V
嗄	55C4	V
嗇	55C7	V
嗙	55D9	V
嗚	55DA	V
嗝	55DD	V
嗣	55E3	V
嗤	55E4	V
嗦	55E6	V
嗲	55F2	V
嗹	55F9	V
嗺	55FA	V
嗽	55FD	V
嗾	55FE	V
嘆	5606	V
嘈	5608	V
嘉	5609	V
嘐	5610	V
嘓	5613	V
嘔	5614	V
嘖	5616	V
嘗	5617	V
嘛	561B	V
嘟	561F	V
嘩	5629	V
嘮	562E	V
嘯	562F	V
嘹	5639	V
嘻	563B	V
嘿	563F	V
噁	5641	V
噌	564C	V
噍	564D	
噎	564E	V
噓	5653	V
噗	5657	V
噤	5664	V
器	5668	V
噪	566A	V
噭	566D	V
噯	566F	V
噴	5674	V
噶	5676	V
噷	5677	V
噸	5678	V
噹	5679	V
嚀	5680	V
嚇	5687	V
嚓	5693	V
嚙	5699	V
嚨	56A8	V
嚮	56AE	V
嚴	56B4	V
嚵	56B5	V
嚶	56B6	V
嚷	56B7	V
嚾	56BE	V
囂	56C2	V
囉	56C9	V
囊	56CA	V
囑	56D1	V
囚	56DA	V
四	56DB	V
囝	56DD	V
回	56DE	V
囟	56DF	V
因	56E0	V
囡	56E1	V
囤	56E4	V
囥	56E5	V
囫	56EB	V
囮	56EE	V
困	56F0	V
囷	56F7	V
固	56FA	V
圇	5707	V
圈	5708	V
國	570B	V
圍	570D	V
園	5712	V
圓	5713	V
圖	5716	V
團	5718	V
圜	571C	V
土	571F	V
在	5728	V
圭	572D	V
地	5730	V
圳	5733	V
圾	573E	V
址	5740	V
均	5747	V
坉	5749	V
坊	574A	V
坌	574C	V
坎	574E	V
坐	5750	V
坑	5751	V
坡	5761	V
坤	5764	V
坦	5766	V
坩	5769	V
坪	576A	V
坯	576F	V
坱	5771	V
坳	5773	V
坵	5775	V
坷	5777	V
垂	5782	V
垃	5783	V
型	578B	V
垞	579E	V
垢	57A2	V
垣	57A3	V
垺	57BA	V
埃	57C3	V
埆	57C6	V
埋	57CB	V
城	57CE	V
埒	57D2	V
埔	57D4	V
埕	57D5	V
域	57DF	V
埠	57E0	V
埤	57E4	V
執	57F7	V
培	57F9	V
基	57FA	V
埽	57FD	V
堀	5800	V
堂	5802	V
堅	5805	V
堆	5806	V
堡	5821	V
堤	5824	V
堪	582A	V
堯	582F	V
報	5831	V
場	5834	V
堵	5835	V
塊	584A	V
塌	584C	V
塑	5851	V
塔	5854	V
塗	5857	V
塘	5858	V
塚	585A	V
塞	585E	V
填	586B	V
塭	586D	V
塵	5875	V
塹	5879	V
塾	587E	V
境	5883	V
墊	588A	V
墓	5893	V
墘	5898	V
墜	589C	V
增	589E	V
墟	589F	V
墨	58A8	V
墩	58A9	V
墮	58AE	V
墳	58B3	V
墼	58BC	V
墾	58BE	V
壁	58C1	V
壅	58C5	V
壇	58C7	V
壓	58D3	V
壕	58D5	V
壘	58D8	V
壙	58D9	V
壞	58DE	V
壟	58DF	V
壢	58E2	V
壩	58E9	V
士	58EB	V
壬	58EC	V
壯	58EF	V
壺	58FA	V
壽	58FD	V
夏	590F	V
夕	5915	V
外	5916	V
多	591A	V
夜	591C	V
夠	5920	V
夢	5922	V
夥	5925	V
大	5927	V
天	5929	V
太	592A	V
夫	592B	V
夭	592D	V
央	592E	V
夯	592F	V
失	5931	V
夷	5937	V
夾	593E	V
奅	5945	V
奇	5947	V
奈	5948	V
奉	5949	V
奏	594F	V
契	5951	V
奒	5952	
奔	5954	V
奕	5955	V
套	5957	V
奚	595A	V
奠	5960	V
奢	5962	V
奧	5967	V
奪	596A	V
奮	596E	V
女	5973	V
奴	5974	V
奶	5976	V
奸	5978	V
好	597D	V
如	5982	V
妃	5983	V
妄	5984	V
妍	598D	V
妒	5992	V
妓	5993	V
妖	5996	V
妗	5997	V
妙	5999	V
妝	599D	V
妣	59A3	V
妥	59A5	V
妨	59A8	V
妮	59AE	V
妲	59B2	V
妹	59B9	V
妻	59BB	V
妾	59BE	V
姆	59C6	V
姊	59CA	V
始	59CB	V
姐	59D0	V
姑	59D1	V
姒	59D2	V
姓	59D3	V
委	59D4	V
姚	59DA	V
姜	59DC	V
姦	59E6	V
姨	59E8	V
姪	59EA	V
姬	59EC	V
姻	59FB	V
姼	59FC	V
姿	59FF	V
威	5A01	V
娃	5A03	V
娉	5A09	V
娗	5A17	V
娘	5A18	V
娛	5A1B	V
娜	5A1C	V
娟	5A1F	V
娥	5A25	V
娩	5A29	V
娶	5A36	V
娼	5A3C	V
婁	5A41	V
婆	5A46	V
婉	5A49	V
婊	5A4A	V
婚	5A5A	V
婢	5A62	V
婦	5A66	V
婷	5A77	V
婸	5A78	V
婿	5A7F	V
媌	5A8C	V
媒	5A92	V
媚	5A9A	V
媠	5AA0	
媧	5AA7	V
媳	5AB3	V
媽	5ABD	V
嫁	5AC1	V
嫂	5AC2	V
嫌	5ACC	V
嫖	5AD6	V
嫡	5AE1	V
嫣	5AE3	V
嫦	5AE6	V
嬈	5B08	V
嬉	5B09	V
嬌	5B0C	V
嬭	5B2D	V
嬰	5B30	V
嬸	5B38	V
孀	5B40	V
子	5B50	V
孔	5B54	V
孕	5B55	V
字	5B57	V
存	5B58	V
孜	5B5C	V
孝	5B5D	V
孟	5B5F	V
季	5B63	V
孤	5B64	V
孩	5B69	V
孫	5B6B	V
孵	5B75	V
學	5B78	V
孽	5B7D	V
宅	5B85	V
宇	5B87	V
守	5B88	V
安	5B89	V
宋	5B8B	V
完	5B8C	V
宏	5B8F	V
宕	5B95	V
宗	5B97	V
官	5B98	V
宙	5B99	V
定	5B9A	V
宛	5B9B	V
宜	5B9C	V
客	5BA2	V
宣	5BA3	V
室	5BA4	V
宥	5BA5	V
宦	5BA6	V
宮	5BAE	V
宰	5BB0	V
害	5BB3	V
宴	5BB4	V
宵	5BB5	V
家	5BB6	V
容	5BB9	V
宿	5BBF	V
寂	5BC2	V
寄	5BC4	V
寅	5BC5	V
密	5BC6	V
寇	5BC7	V
富	5BCC	V
寐	5BD0	V
寒	5BD2	V
寓	5BD3	V
寞	5BDE	V
察	5BDF	V
寡	5BE1	V
寢	5BE2	V
寥	5BE5	V
實	5BE6	V
寧	5BE7	V
寨	5BE8	V
審	5BE9	V
寫	5BEB	V
寬	5BEC	V
寮	5BEE	V
寵	5BF5	V
寶	5BF6	V
寸	5BF8	V
寺	5BFA	V
封	5C01	V
射	5C04	V
將	5C07	V
專	5C08	V
尉	5C09	V
尊	5C0A	V
尋	5C0B	V
對	5C0D	V
導	5C0E	V
小	5C0F	V
少	5C11	V
尖	5C16	V
尚	5C1A	V
尤	5C24	V
尪	5C2A	V
就	5C31	V
尹	5C39	V
尺	5C3A	V
尻	5C3B	V
尼	5C3C	V
尾	5C3E	V
尿	5C3F	V
局	5C40	V
屁	5C41	V
屄	5C44	V
居	5C45	V
屆	5C46	V
屈	5C48	V
屋	5C4B	V
屍	5C4D	V
屎	5C4E	V
屏	5C4F	V
屐	5C50	V
屑	5C51	V
展	5C55	V
屘	5C58	V
屜	5C5C	V
屠	5C60	V
屢	5C62	V
層	5C64	V
履	5C65	V
屧	5C67	V
屬	5C6C	V
屯	5C6F	V
山	5C71	V
岡	5CA1	V
岩	5CA9	V
岫	5CAB	V
岳	5CB3	V
岸	5CB8	V
峇	5CC7	V
峨	5CE8	V
峰	5CF0	V
島	5CF6	V
峻	5CFB	V
峽	5CFD	V
崁	5D01	V
崇	5D07	V
崎	5D0E	V
崔	5D14	V
崖	5D16	V
崗	5D17	V
崙	5D19	V
崩	5D29	V
嵌	5D4C	V
嵐	5D50	V
嵙	5D59	V
嵯	5D6F	V
嶄	5D84	V
嶠	5DA0	V
嶺	5DBA	V
嶼	5DBC	V
嶽	5DBD	V
巒	5DD2	V
巖	5DD6	V
川	5DDD	V
州	5DDE	V
巡	5DE1	V
巢	5DE2	V
工	5DE5	V
左	5DE6	V
巧	5DE7	V
巨	5DE8	V
巫	5DEB	V
差	5DEE	V
己	5DF1	V
已	5DF2	V
巳	5DF3	V
巴	5DF4	V
巷	5DF7	V
巾	5DFE	V
市	5E02	V
布	5E03	V
帆	5E06	V
希	5E0C	V
帔	5E14	V
帕	5E15	V
帖	5E16	V
帙	5E19	V
帚	5E1A	V
帛	5E1B	V
帝	5E1D	V
帥	5E25	V
師	5E2B	V
席	5E2D	V
帳	5E33	V
帶	5E36	V
帷	5E37	V
常	5E38	V
帽	5E3D	V
幅	5E45	V
幌	5E4C	V
幔	5E54	V
幕	5E55	V
幡	5E61	V
幢	5E62	V
幣	5E63	V
幫	5E6B	V
干	5E72	V
平	5E73	V
年	5E74	V
幸	5E78	V
幹	5E79	V
幻	5E7B	V
幼	5E7C	V
幽	5E7D	V
幾	5E7E	V
庄	5E84	V
庇	5E87	V
床	5E8A	V
序	5E8F	V
底	5E95	V
店	5E97	V
庚	5E9A	V
府	5E9C	V
度	5EA6	V
座	5EA7	V
庫	5EAB	V
庭	5EAD	V
庵	5EB5	V
康	5EB7	V
