㔂	lân
反	huán, píng, páinn, puínn, pán
叔	tsik, siok
取	tshú
受	siū, siūnn
叛	puān
叡	juē, luē
叢	tsông, tsâng
口	kháu, khió, káu
古	kóo
句	kù
另	līng
叨	lo, tho, lu
叩	khàu, khiò
只	tsí
叫	kiò
召	tiàu
叭	pah
叮	ting, tìng
可	khó, khóo, khónn, khuá, khoo
台	tâi
叱	tshit, tshi̍h
史	sú, sái
右	iū
司	si, su, sai
各	kok, koh
合	ha̍p, ha̍h, kap, kah
吉	kiat, jì
吊	tiàu
吋	tshùn
同	tông, tâng
名	miâ, bîng
后	hiō, hōo, āu
吏	lī
吐	thóo, thòo
向	hiòng, ànn, hiànn, hiàng, ǹg
吒	tshia
君	kun
吝	līn
吞	thun
吟	gîm
吠	puī, huī
否	hónn, hóo, phí
吧	pa
吩	huan, hun
吪	o, ô
含	kâm, hâm, kânn
吭	khōng, khngh
吮	tshńg, tsuīnn, tsn̄g
吱	ki
吳	ngôo, gôo
吵	tshá, tsháu
吶	nā
吸	khip, khi̍p, hiap
吹	tshue, tshe, tshui
吻	bún
吼	háu, ha̍unnh
吾	ngôo
呂	lī, lū
呃	eh, è
呆	tai
呈	thîng, tîng
告	kò
呔	thài, thah
呢	neh, ne, ni, nî, nih, ní
呧	ti
周	tsiu
呱	kuā, kua̍k, kua̍t, kop
呲	tshū
味	bī
呴	ku
呵	o, ha
呸	phuì
呺	hau
呻	tshan, sin
呼	hoo, khoo, honn
命	miā, bīng
呾	tànn
呿	khuh
咁	kām
咂	tsa̍p
咇	phi̍h
和	hô, huê, hām, hō, hê, hâm
咍	hai
咎	kiū
咐	hù
咑	tā, tah
咒	tsiù
咕	kū, koo, kú
咖	ka
咧	leh, teh, tih, lih, lê
咩	meh
咪	bî, mi, bi, mî, bi̋
咫	tsí
咬	kā, ngáu
咯	ko̍k, kha̍k, kok, lo̍k
咱	lán, tsa
咳	ka, kha
咸	hâm
咻	hiu
咽	ian
咾	ló
哀	ai
品	phín
哈	ha, hah, hā, ha̍h
哉	tsài, tsai
哎	aih, ai
哖	nî
員	uân, guân, înn
哥	ko, koh
哦	ōnn, ónn
哨	sàu, siàu
哩	li, lí, lih, mai
哪	ná, nà, lô
哭	khàu
哮	hàu
哱	phū
哲	tiat, thiat
哹	pu
哺	pōo, ko, koo
哼	hainn, hngh, hmh
哽	kénn, kínn, kê
唅	hannh
唆	so, sō
唇	tûn, sûn
唉	haih
唌	siânn
唏	hì
唐	tông, tn̂g
唔	onn
唚	tsim
唧	tsik
唬	hóo
售	siū
唯	uî, bī, bî
唱	tshiùnn, tshiàng, tshiònn, tshiòng
唷	ioh
唸	liām
唾	thò
唿	hut
啄	tok, teh
商	siong
啉	lim
啊	ah, a
問	mn̄g, būn, muī
啖	tām, tam
啞	é, énn, á
啟	khé
啡	pi
啤	pî
啥	siánn, sánn, siannh, sannh
啦	lah
啼	thî, thê
啾	tshiùnn
喀	khe̍nnh, khennh
喁	gū
喂	uê, ueh, eh
喃	nauh
善	siān
喆	tsiat
喇	lá
喈	kainn
喉	âu
喊	hiàm, hán
喋	thi̍h, sah
喌	tsiuh, tsû, tsű, tsu
喎	ua
喑	ìnn
喓	iaunn
喔	ooh, op
喘	tshuán
喙	tshuì
喚	huàn
喜	hí
喝	huah, hat, há
喢	sannh
喧	suan
喨	liang
喪	song, sòng, sng
喬	kiâu
單	tuann, tan
喲	iō
喳	tshā
喵	miau, niau, ngiau
喻	lū, jū
嗄	sà, sah
嗆	tshiong
嗇	sik, siah
嗑	khap
嗔	tsin
嗕	ngauh, nauh
嗙	phngh, pòng
嗚	onn, oo
嗝	keh
嗣	sû, sū
嗤	tshi, tshi̍h
嗦	so
嗨	ha̍ih, hái
嗲	teh, te
嗷	ô, oh, uh, âu
嗹	liân
嗺	sui
嗽	sàu
嗾	tsa̍k
嘆	thàn
嘈	tsha̍uh, tsō
嘉	ka
嘎	khia̍k
嘐	hau
嘓	kho̍k, ko̍k, go̍k, khok, kok
嘔	áu, óo
嘖	tsheh
嘗	siông
嘛	mā, mah, mà
嘟	tū
嘩	huā, hua
嘮	lo
嘯	siàu
嘰	ki
嘵	hiau
嘹	liâu
嘻	hi
嘿	heh, hēnn, hennh, hiàu, hènn
噁	ònn
噎	uh, ap
噓	si, su̍t, sū, su
噗	pho̍k, phok, pok
噢	a̍uh, auh
噤	khiūnn, khiōnn, kìm
器	khì, hì
噪	tshò, soh, sò
噬	sē
噭	kiàu
噯	ài, aih
噴	phùn
噷	hm̍h
噸	tòng, tùn
噹	tang
噼	piah
嚀	lîng
嚆	ô
嚇	heh, hiannh, hennh, hánn, hē, hik
嚎	hô
嚓	tshia̍k
嚙	gè
嚨	nâ, liông, lông
嚮	hiòng
嚴	giâm
嚶	inn, ìnn
嚷	jiáng, jióng, lióng, gióng, giáng
嚾	uang
囂	hiau, hia
囉	lo, lô, looh, loh, ooh, lō
囊	lông, long, lôm
囑	tsiok
囚	siû, siûnn
四	sì, sù
囝	kiánn, kánn
回	huê, hê
囟	sìn
因	in
囡	gín
囤	tún
囥	khǹg
囫	hut
囮	buê
困	khùn
囷	khûn
固	kòo
圃	phóo
圇	lûn, lun, nn̂g, nuî, n̂g
圈	khian, khuan
國	kok
圍	uî, û, iû
園	hn̂g, uân, huînn
圓	înn, uân
圖	tôo
團	thuân
圜	huân
土	thóo
在	tsāi
圭	kui
地	tē, tuē, tè, tī, lī
圳	tsùn
圾	sap
址	tsí
坂	pán
均	kun, kin
坉	thūn
坊	hong, hng
坎	khám, gám, kham
坐	tsē, tshē, tsō
坑	khenn, khinn, khing
坡	pho
坤	khun
坦	thán, thánn
坩	khann
坪	phiânn, pênn, pînn, phînn, phênn, phîng
坯	phue, phe
坱	ing
坵	khu
坷	khia̍t
垂	suî, suê, sê
垃	lah, lâ, lap
型	hîng
垢	káu
垣	uân
垺	pû, phû
埃	ai, ia
埆	kak, kat
埋	tâi, bâi
城	siânn, sîng
埒	lua̍h
埔	poo
埕	tiânn
域	hi̍k, i̍k
埠	poo, pōo
埤	pi
執	tsip
培	puê, puē
基	ki, ke
埽	sò
堀	khut
堂	tn̂g, tông
堅	kian
堆	tui
堊	ok
堡	pó
堤	thê
堪	kham
堯	giâu
報	pò
場	tiûnn, tiônn, tshiâng
堵	tóo
塊	tè, khuài
塌	thap, lap, la̍p
塑	sok
塔	thah, tshah
塗	thôo, tôo, thô
塘	tn̂g, tông
塚	thióng
塞	sat, sài
填	thiām
塭	ùn
塵	tîn
塾	sio̍k
境	kíng
墈	khàm
墊	tiām
墓	bōng, bōo, bāng
墘	kînn
墜	tuī
增	tsing
墟	hi
墨	ba̍k, bi̍k
墩	tun
墮	tuī
墳	phûn, hûn
墼	kat, kak
墾	khún
壁	piah, pik, phik
壅	ìng
壇	tuânn, tân
壓	ap, ah
壕	hô
壘	luí
壙	khòng
壚	lôo
壞	huāi, hāi
壟	lióng, lóng
壢	li̍k
壤	jióng
壩	pà, pè
士	sū
壬	jîm, lîm, līm, jīm
壯	tsòng
壹	it
壺	ôo, hôo
壽	siū
夏	hā, hē
夕	si̍k, sia̍h
外	guā, guē
多	to
夜	iā
夠	kàu
夢	bāng, bōng
夥	hué, hé
大	tuā, tāi, ta
天	thian, thinn
太	thài
夫	hu
夭	iáu
央	iong, ng, iang, ing
夯	giâ, kiâ, gia̍h
失	sit
夷	î
夸	khua
夾	ngeh, ngueh, gue̍h, gueh
奅	phānn
奇	kî, khia, kha, khiann
奈	nāi, ta
奉	hōng
奏	tsàu
契	khè, khuè
奒	hai
奔	pun, phun
奕	ī
套	thò
奚	hê
奠	tiān
奢	tshia
奧	ò
奪	tua̍t
奮	hùn
女	lú, lí
奴	lôo
奶	ling, ni, lin, ne, nái, nai
奸	kan
好	hó, hònn
如	jû, lû, jî, lî
妃	hui
妄	bōng
妍	giân, gián
妒	tòo
妓	ki
妖	iau
妗	kīm
妙	miāu, biāu
妝	tsng, tsong
妣	pí
妥	thò
妨	hông
妮	nî
妯	ti̍k
妲	thán
妹	muē, bē, muāi, māi
妻	tshe, tshie
妾	tshiap
姆	ḿ
姊	tsí, tsé, tsié
始	sí, sú
姐	tsiá, tsê, tsiáu
姑	koo
姒	sāi
姓	sènn, sìnn, sìng
委	uí
姚	iô, iâu
姜	kiunn, kiong, khiunn, khionn, khiong
姦	kàn, kan
姨	î, înn
姪	ti̍t, tsit
姬	ki
姻	in, im
姼	tshit
姿	tsu
威	ui
娃	ua
娉	phing
娌	lí
娑	so
娗	thānn
娘	niû, niâ, niôo, liông, niô
娛	gôo, ngôo, gû
娜	ná
娟	kuan
娥	ngôo
娩	bián
娵	tsoo
娶	tshuā
娼	tshang, tshiong
婁	lôo
婆	pô
婉	uán
婊	piáu
婚	hun
婢	pī
婦	hū, pū
婷	tîng
婸	giang
婿	sài, sè
媌	bâ
媒	muî, muê, hm̂, muâi, hûn
媚	bī
媠	suí
媧	o
媳	sik
媽	má, ma, mah
嫁	kè, kà
嫂	só
嫌	hiâm
嫖	phiâu
嫡	tik
嫣	ian
嫦	siông
嫩	lūn
嬈	hiâu
嬉	hi
嬌	kiau
嬭	lé
嬰	inn, enn, ìnn, ing, ne, ni, mi
嬸	tsím, sím
孀	song
子	tsú, tsí, jí, lí
孔	khóng, kháng
孕	īn
字	jī, lī, gī, jū
存	tsûn, tshûn, tshūn
孜	tsu
孝	hàu, hà
孟	bīng
