㔂	lân
純	sûn
紗	se, sua, sa
紙	tsuá
級	kip
紛	hun
素	sòo
紡	pháng, hóng
索	soh, sik
紩	thīnn
紫	tsí
紬	thiu
紮	tsah, tsat, tsap
累	luí, luī
細	sè, suè
紲	suà
紳	sin
紹	siāu
紺	khóng
紽	tô
終	tsiong
絃	hiân
組	tsoo
絆	puànn, puàn
結	kiat, kat
絕	tsua̍t, tse̍h
絚	ân
絞	ká, káu
絡	le, lo̍k, lo̍h
絢	sûn, hiàn
給	kip
絨	jiông, liông
絪	in
絮	sù
統	thóng
絲	si
絳	kòng
絹	kìn
綁	páng
經	king, kenn, kinn
綜	tsong, tsòng
綠	li̍k, lio̍k
綢	tiû
維	uî, î
綰	kuānn
綱	kong
網	bāng, bóng
綴	tuè, tè, tuat, tsuè
綵	tshái
綸	lûn, kuan
綹	liú
綺	khí
綽	tshiok
綾	lîng
綿	mî, biân
緊	kín
緒	sū, sû
線	suànn, siàn
緝	tsi̍p, tship
緞	tuān
緟	thōng
締	tè
緣	iân
編	pian, pinn
緩	uān
緬	bián
緯	huī, uī
練	liān
緻	tì, tī
縋	luī
縐	tsò
縒	tsua̍h
縖	hâ
縛	pa̍k
縣	kuān, kuīnn, kuāinn
縫	phāng, hông, pâng
縭	li, lî
縮	sok, siok
縱	tshiòng, tshióng, tshiong
總	tsóng, tsáng
績	tsik, tseh
繁	huân
繃	penn, pinn
繆	biū
繏	sǹg
繐	sui
織	tsit
繚	liāu
繞	jiàu, liàu
繡	siù
繩	tsîn, sîng
繪	huē
繫	hē
繭	kián, kíng, kán
繳	kiáu
繼	kè
續	sio̍k
纏	tînn, tiân
纓	inn, ing, iann, enn
纖	siam, tshiam
纜	lám, lām
缸	kng, kong
缺	khuat, khueh, khih, kheh
缽	puah, puat
缾	phiann
罅	hà
罈	thâm
罐	kuàn
罔	bóng
罕	hán
罟	koo
罨	am, lam
罩	tà, tàu
罪	tsuē, tsē
置	tì
罰	hua̍t
署	sú, sū
罵	mā, mē, mī
罷	pā
罾	tsan
羅	lô
羊	iûnn, iônn, iông
羌	kiunn, kionn, kiong
美	bí
羓	pa
羔	ko
羞	tshiu, siu
群	kûn
羨	siān
義	gī
羯	kiat
羲	hi
羶	hiàn
羹	kenn, kinn, king
羽	ú
翁	ang, ong, iang
翅	tshì
翎	līng
習	si̍p
翔	siông
翕	hip
翟	ti̍k
翠	tshuì
翡	huí
翦	tsián
翩	phian
翰	hān
翱	kō
翳	ì, è
翸	phún
翹	khiàu
翻	huan
翼	si̍t, i̍k
耀	iāu
老	lāu, láu, ló, nóo
考	khó, khónn
者	tsiá
耆	kî
而	jî, lî
耍	sńg
耎	luán, juán
耐	nāi
耕	king
耗	hònn
耘	ûn
耙	pê, pē
耞	kínn, kénn
耳	hīnn, hī, ní, jí, mí, jínn
耶	iâ
耽	tânn, tam
耿	kíng
聆	lîng
聊	liâu
聖	sìng, siànn
聘	phìng
聚	tsū
聞	bûn
聬	àng, áng
聯	liân
聰	tshong
聲	siann, sing
聳	tshàng, sáng
聶	lia̍p
職	tsit
聽	thiann, thìng, thing
聾	lâng, lông
聿	u̍t
肅	siok
肆	sù
肇	tiāu
肉	bah, jio̍k, lio̍k, hi̍k
肋	li̍k
肌	ki
肓	bông, hông, hong
肖	siàu
肘	tiú
肚	tōo, tóo
肛	kong
肝	kuann, kan
股	kóo
肢	ki
肥	puî, huî
肨	hàng
肩	king, kian
肭	leh
肯	khíng
肱	kong
育	io̍k, io
肴	ngâu
肺	hì
胃	uī
背	puē, puè
胎	thai, the
胖	phàng
胘	kiān
胚	phue, phe
胛	kah
胞	pau
胡	hôo, ôo
胭	ian
胮	hàng
胰	î, i
胱	kong
胳	kueh, koh, kuih
胴	tâng, lang, tang
胸	hing, hiong
能	lîng
胿	kui, kuai, kuainn
脂	tsi
脅	hia̍p
脆	tshè, tshuì, tshuè
脇	hia̍p
脈	me̍h, be̍h, mē, meh, bi̍k, bē
脊	tsiah, tsit, tsik
脣	tûn
脫	thuat, thu̍t, thut, thuah
脬	pha
脯	póo, pôo
脰	tāu
脹	tiùnn, tiòng, tiònn
脽	tsui
脾	pî, phî
腋	i̍k
腌	a, am
腎	sīn, siān
腐	hū, hú
腑	hú
腔	khiunn, tshiunn, khiong, khionn, tshionn, khiang
腕	uánn, uán
腡	lê
腥	tshinn, tshenn, tshènn, tshìnn, tshe
腦	náu, ló, nóo
腩	lám
腫	tsíng
腮	tshi
腯	thún
腰	io, iau
腱	kiàn, kiān
腳	kioh, kiok
腴	jû
腸	tn̂g, tshiâng, tiông, tshiân, liông
腹	pak, bak, bat, pat, phat, hok
腿	thuí
膀	phông, pông
膁	liám
膈	keh
膋	lâ
膎	kuê, kê
膏	ko, kô, koo, kō
膚	hu
膜	mo̍oh
膝	tshik, sit
膠	ka
膣	tsi
膨	phòng
膩	jī, lī
膭	kuī
膳	siān
膽	tánn, tám
膿	lâng, lông
臁	liâm
臂	pì
臆	ioh, ip, ik
臉	lián, liám
臊	tsho, tshau
臍	tsâi, tsê
臏	pīn
臘	la̍h, lia̍p
臟	tsōng, tsn̄g
臢	tsa, tsam
臣	sîn
臥	ngōo
臧	tsong
臨	lîm, liâm, lím
自	tsū
臭	tshàu
至	tsì
致	tì
臺	tâi
臼	khū
舀	iúnn, iónn, ió
舂	tsing
舅	kū, kiū
與	ú, í, ū
興	hing, hìng, hin
舉	kí, kú
舊	kū, kiū
舌	tsi̍h, tsī, sia̍t
舍	sià
舐	tsīnn, tsn̄g, tsī
舒	tshu, su, soo, tshi
舖	phòo
舜	sùn
舞	bú
舟	tsiu
舢	sam
舨	pán
航	hâng
般	puann, pan, puan
舵	tāi, tuā, tō
舷	hiân
船	tsûn
艇	thíng
艙	tshng, tshong
艚	tsô
艦	lām, kàm
良	liông
艱	kan
色	sik
艷	iām
艾	hiānn, ngāi
芋	ōo, ū
芍	tsiok
芎	kiong
芒	bâng, bông, bang
芙	hû, phû
芝	tsi
芟	sing, sng, san
芡	khiàn, khiàm
芥	kài, kuà, kè
芫	iân, ian, uan, uân
芬	hun
芭	pa
花	hue, hua
芳	phang, hong
芷	tsí
芸	ûn
芹	khîn, khûn
芽	gê, bê, lê, gâ
苑	uán
苒	liâm, jiâm
苓	lîng
苔	thî, tî, thai
苗	biâu
苛	khô, kho
苞	pau, pôo
苟	kóo
若	nā, ná, ā, jio̍k, lio̍k, lō
苦	khóo, ku
苧	tuē, tē, thú
英	ing
苳	tang
苴	tsū
苻	hû
茂	bōo, ōm, ām
范	huān
茄	ka, kiô
茅	hm̂, mâu, m̂
茈	tsínn
茉	ba̍k, bua̍h
茫	bông, bâng
茭	ka, kha
茯	ho̍k
茱	tsu
茲	tsu
茵	in
茶	tê, tshâ, te
茸	jiông, liông
荀	sûn
荇	hīng
草	tsháu, tshó
荊	king
荍	siô
荏	lám
荐	tsiàn
荒	hong, hng, huinn
荔	nāi, lē, lāi
荖	láu, ló
荳	tōo
荷	hô, huê, hoo, hû, hâ, hûn, hôo
荽	sui, suinn
莆	pôo, hú
莉	lī, nī
莊	tsong, tsng
莎	so, sa
莓	m̂, muî
莖	huînn, huâinn, king
莢	ngeh, kueh, ngueh, gueh
莧	hīng, hāng
莫	bo̍k, mài, bo̍h
莽	bóng
莿	tshì
菁	tshinn, tshenn, tsing
菅	kuann, kan
菇	koo
菊	kiok, kak
菌	khún
菖	tshiong, tshiang
菜	tshài
菝	pua̍t, pa̍t, pu̍t
菠	pe, pue, po
菡	hâm
菩	phôo
華	huâ, hua, huà
菱	lîng
菲	hui, huí
菽	siok
萄	tô
萊	lâi
萍	phîng
萎	uí, ui
萬	bān
萱	suan
萵	ue, meh, e, o
萼	go̍k
落	lo̍h, làu, lo̍k, lak, loh, la̍uh, lōo, lāu, lō
葆	pó
葉	hio̍h, ia̍p
著	tio̍h, to̍h, tù, tiō, tio̍k, tō
葛	kat, kuah
葡	phû, phô, pô, pû, phuê
董	tóng, táng
葩	pha
葫	hôo
葬	tsòng
葵	khuê, khue, kuî
蒂	tì
蒔	sî
蒙	bông
蒜	suàn
蒲	pôo
蒸	tsing
蒼	tshong
蒿	o
蓁	tsin
蓄	thiok, hak
蓆	tshio̍h, tshiō
蓉	iông
蓋	kuà, kài, kah, kap
蓑	sui
蓪	thong
蓬	phōng, hông, pōng
蓮	liân, lián, lân, liám, nâi
蔀	pōo
蔑	bia̍t
蔓	muā, bān
蔔	po̍k
蔗	tsià
蔚	uì
蔡	tshuà
蔣	tsiúnn, tsiónn
蔥	tshang
蔫	lian
蔬	se, soo
蔭	ìm, ńg
蔽	pè
蕃	huan
蕉	tsio, tsiau
蕊	luí
蕎	giō, kiō, kioh, jiō
蕗	lōo, lā, nōo
蕘	giô
蕙	huī
蕨	kueh, keh, kuè, kè
蕩	tōng, tn̄g
蕪	bû
蕭	siau, sio
蕳	kan
蕹	ìng
蕾	lê, luí
薁	ò
薄	po̍h, po̍k, pō
薅	khau
薇	bî
薈	huē
薏	ì
薐	lîng
薑	kiunn, kionn
薔	tshiûnn
薛	sih
薟	hiam, hiang
薦	tsiàn, tsì
薩	sat
薪	sin
薯	tsî, tsû
薰	hun
薸	phiô
薺	tsî
藃	hiauh, hiau
藉	tsioh, tsik, tsiah
藍	nâ, lâm
藏	tshàng, tsông, tsōng
藐	biáu
藕	ngāu, ngóo
藝	gē
藤	tîn, tîng
藥	io̍h, iō, io̍k
藩	phuan, huan
藹	ái
藺	līn
蘆	lôo
蘇	soo
蘊	ùn
蘋	phōng, phông, phîng
蘑	môo
蘭	lân, liân, lian
蘿	lo̍k, lô
虎	hóo, hu
虐	gio̍h, gi̍k, gio̍k
虔	khiân
處	tshù, tshú
虛	hi, hu
虜	lóo
虞	gû
號	hō, lō
虧	khui
虫	huí
虯	khiû
虱	sat
虹	khīng, hông
虼	ka
蚊	bûn
蚌	pāng, bāng
蚓	kún, ún, kín, lún
蚣	kang
蚤	tsáu
蚵	ô
蚶	ham
蚻	tsua̍h, tsuā
蛀	tsiù, tsù
蛄	koo
蛆	tshi, tshu
蛇	tsuâ, siâ
蛉	nih
蛋	tàn, tuann, lua, nua
蛙	ua, kuê
蛚	le, lē
蛛	tu
蛟	kau
蛣	kiat
蛤	kap
蛹	ióng
蛻	thuì
蛾	ia̍h
蜀	sio̍k
蜂	phang, hong
蜃	sīn
蜅	poo, koo
蜈	giâ, ngôo, gôo, môo
蜊	lâ, lâi
蜍	tsû, tsî
蜘	ti
蜜	bi̍t
蜞	khî
蜢	meh, nih, neh, ni
蜣	kiunn
蜷	khûn
蝒	bīn, gūn, būn
蝕	sit, si̍h, si̍k, sī, si̍t
蝙	pián
蝛	bui, ui
蝝	iân
蝟	uī
蝠	hok
蝦	hê
蝨	sat
蝴	ôo, hôo
蝶	ia̍h, tia̍p, iā
蝹	un
蝻	lâm
螂	lâng, bông
融	iông, hiông
螕	pi
螟	bîng
螢	îng, hîng
螳	tông
螺	lê, lôo
螿	tsiunn, tsionn, tsiong
蟀	sut, suì
蟄	ti̍t
蟊	moo
蟋	sik, sih, tik
蟒	báng, bóng
蟧	lâ
蟬	siân
蟮	siān, sīn, sîn, sin
蟯	ngia̍uh, giô, liâu, jiâu
蟲	thâng, âng, thiông, tâng, lâng
蟳	tsîm
蟶	than
蟹	hē, huē, hāi, heh
蟻	hiā, gí
蟾	siâm
蠅	sîn
蠍	giat
蠐	tsê, tshê
蠓	báng
蠕	lû, lùn, jû
蠘	tshi̍h
蠟	la̍h, la̍p
蠢	tshún
蠳	ni
蠶	thâm, tshân, tshâm
蠻	bân
蠽	tsua̍h, tsuā
血	hueh, huih, hiat
行	hîng, kiânn, hâng, hīng, lîng, nn̄g
衍	ián
術	su̍t
街	ke, kue
衙	gê
衛	uē, uī
衝	tshìng, tshiong, tshóng
衡	hîng
衣	i, ui
表	piáu, pió
衫	sann
衰	sue, sui
衲	la̍p
衷	thiong
袁	uân
袂	bē, buē
袈	ka
袋	tē, tāi
袍	phâu
袖	siù
袚	phua̍h
被	phuē, phē, pī
袱	ho̍k
裁	tshâi
裂	li̍h, lia̍t, liah
裊	niáu
裌	kiap
裏	lí
裒	pôo
裔	è, ì
裕	jū, lū
裘	hiû
裙	kûn
補	póo
裝	tsong, tsng
裟	se
裡	lí
裱	piáu
裴	puê
裹	kó
裼	theh, thueh
製	tsè
裾	ki, ku
褂	kuà
複	ho̍k
褒	po
褙	puè, pè
褚	thú
褥	lio̍k, jio̍k
褪	thǹg, thuìnn
褫	thí
褲	khòo
襀	tsioh
襄	siong
襇	kíng, kán
襞	phé
襟	khim
襤	lâm
襪	bue̍h, be̍h, buē, bua̍t
襲	si̍p
襻	phàn
西	se, sai, si, sie
要	iàu, iau, á
覆	phak, hok
見	kiàn, kìnn
規	kui
覓	māi, bā, buâ, buā, bi̍k
覕	bih
視	sī
親	tshin, tshinn, tshan, tshenn, tshing
覲	kīn
覷	tshuh
覺	kak
覽	lám
觀	kuan, kuàn
角	kak
觔	kun
解	kái, ké
觱	pi
觳	khok, kho̍k, khóo, phok
觸	tak, tshiok, tshik, ta̍k, sio̍k, táu
言	giân, gân
訂	tīng
訃	hù
計	kè, kì, khè, khì
訊	sìn
討	thó
訓	hùn
訕	suān, suan
託	thok
記	kì
訟	siōng
訣	kuat
訪	hóng
設	siat
許	hí, khóo, hú
訴	sòo
訶	honn
診	tsín
註	tsù
詈	lué, lé
詐	tsà
詔	tsiàu
評	phîng
詞	sû
詢	sûn
詣	gē
試	tshì
詩	si
詬	kāu
詭	kuí, khuí
詮	tshuan
詰	khiat
話	uē
該	kai
詳	siông, siâng
詹	tsiam
詼	khue, khe
誅	tu
誇	khua
誌	tsì
認	jīn, līn
誓	sè, tsuā, sē
誕	tàn, tān
誘	iú
語	gí, gú
誠	sîng, tsiânn
誡	kài
誣	bû
誤	gōo, ngōo
誦	siōng
誨	huè
說	sueh, suat, seh, suè
誰	suî, tiâng, tsiâ, tsuî, tsuī, siâng
課	khò, khuè, khè
誹	huí
誼	gî, gī
調	tiāu, tiâu, tiàu, tiau, thâu
談	tâm
請	tshiánn, tshíng
諍	tsènn, tsìnn, tsìng
諒	liōng
論	lūn
諜	tia̍p
諞	pián
諦	tè
諧	hâi
諭	jū, lū
諮	tsu
諱	huì
諳	am
諷	hóng
諸	tsu
諺	gān
諾	lo̍k, hioh, hànn
謀	bôo, biô, môo
謂	uī, uì
謄	thîng
謊	hóng, hong
謎	bī, bē, bî
謔	giok, gio̍h
謗	pòng
謙	khiam
講	kóng, káng
謝	siā, tsiā
謠	iâu
謬	biū
謳	oo
謹	kín
謼	hooh
譀	hàm
譁	huā
證	tsìng
譎	khiat
譏	ki
識	sik
譚	thâm, tâm
譜	phóo
警	kíng, kìng
譬	phì
譯	i̍k
議	gī
譴	khiàn, khián
護	hōo, lōo
譽	ū
讀	tha̍k, tho̍k, tāu, tōo
變	piàn, pìnn
讓	niū, liōng, niōo, jiōng
讖	tshàm
讚	tsàn, tsán
谷	kok
豆	tāu
豈	khí
豉	sīnn, sī
豋	ting
豍	pi
豎	sū
豐	hong, phong
豔	iām
豚	thûn
象	siōng, tshiūnn, siūnn, sióng, siòng, sīn, siōnn, tshiōnn
豪	hô
豫	ū
豬	ti, tu
豸	thuā
豹	pà
貂	tiau
貉	hô
貌	māu
貓	niau, bâ
貝	puè
貞	tsing
負	hū
財	tsâi
貢	kòng
貧	pîn, pân, pûn, pān
貨	huè, hè, hònn, hò
販	huàn, phuànn, phuà
貪	tham
貫	kuàn, kǹg, kuìnn
責	tsik
貯	té, tué, thú
貳	lī, jī
貴	kuì
貶	pián
買	bé, bué, mái
貸	tāi
貺	hīng, hān
費	huì
貼	tah, thiap, tia̍p
貿	bāu, ba̍uh, bōo
賀	hō
賂	lōo
賄	hué
資	tsu
賈	kóo, ká
賊	tsha̍t, tsa̍t, tsi̍k
賑	tsín
賒	sia
賓	pin
賜	sù
賞	siúnn, sióng, siónn
賠	puê, pê
賢	hiân
賣	bē, buē, māi
賤	tsiān
賦	hù
質	tsit
賭	tóo
賰	tshun
賴	luā, lāi, nāi, lē
賺	tsuán
購	kòo, káng
賽	sài, sè
贅	tsuè
贈	tsīng
贊	tsàn, tsān
贌	pa̍k
贏	iânn, îng
贐	tsīn
贓	tsong, tsng
贖	sio̍k
赤	tshiah, tsiah, tshik
赦	sià
赫	hik
走	tsáu, tsóo
赴	hù
起	khí
趁	thàn
超	tshiau, thiau
越	ua̍t
趒	tiô
趕	kuánn
趖	sô
趙	tiō
趣	tshù
趨	tshu
足	tsiok, tsok
趺	u, hu
趼	lan
趾	tsí
跂	kué, ké
跋	pua̍h, pua̍t, puā
跌	tia̍t
跍	khû
跎	tô
跑	pháu, phâu
跔	ku
跕	liam
跙	tshū
跛	pái, páinn
距	kū, kī
跟	kin, kun
跡	jiah, liah, tsiah, tsik
跤	kha, kau
跨	khuà
跩	tsuāinn
跪	kuī
路	lōo
跳	thiàu
踃	sau
踅	se̍h
踏	ta̍h, ta̍p, tā
踐	tsiān
踔	tshi̍k
踢	that, thik, thah
踩	tshái
踮	tiàm, tàm
踴	ióng
蹁	phîn, phiân
蹄	tê, tuê
蹈	tō
蹉	tsho
蹊	khi
蹌	tshiáng, tshíng
蹓	lau
蹔	tsàm
蹘	liâu
蹛	tuà
蹟	tsik
蹤	tsong
蹧	tsau, tsiau
蹬	tinn, tenn
蹲	tsun
蹺	khiau
蹽	liâu
躁	sò
躂	that
躄	phih, phī
躇	tû
躊	tiû
躍	io̍k, ik
躘	liòng, lìng
躡	nih, neh
身	sin, sing, sian, siang, hun
躬	kiong
躼	lò, liò
躽	nuà
軀	khu, su, siu
軁	nǹg, nuì, nng
車	tshia, ku, ki
軋	kauh
軌	kuí
軍	kun
軒	hian, ian
軟	nńg, luán, nuí
軸	ti̍k
較	khah, kàu, kah, kà
載	tsài, tsáinn
輓	buán
輔	hú, phóo
輕	khin, khing
輛	lióng, liōng
輝	hui
輦	lián, lín
輩	puè
輪	lûn, lián, lin, lian, lín, lún
輯	tsi̍p, tship
輸	su
輻	hok
輾	liàn, lìn, tián
轄	hat
轆	lak, lo̍k
轉	tńg, tsuán, tuínn, tsuān
轍	tia̍t
轎	kiō, kiau, kiāu, kioh
轟	hong
辛	sin
辜	koo
辟	phiah, phik
辣	lua̍h, la̍h, luā
辦	pān
辨	piān
辭	sî, sû
辮	pīnn
辯	piān
辰	sîn
辱	jio̍k, lio̍k
農	lông
迅	sìn
迌	thô
迎	ngiâ, gîng, giâ
近	kīn, kūn
迒	hānn, hâ
返	huán
迢	tiâu
迦	khia, kia, kiau, khiau
迪	ti̍k
迫	pik
迭	tia̍t
述	su̍t
迴	huê
迵	thàng
迷	bê
迸	piàng
追	tui
退	thè, thuè
送	sàng, sòng
逃	tô
逆	gi̍k
逍	siau
透	thàu, thò
逐	ta̍k, jiok, lip, jik, jip, tsip, tio̍k, giok
途	tôo
逕	kìng
這	tsit, tsiàng, tse, tsiah
通	thong, thang
逝	tsuā, sē
逞	thíng
速	sok
造	tsō
逢	hông
連	liân, liâm, nî
逮	tāi
週	tsiu
進	tsìn
逸	i̍k, iat, i̍t, ia̍t
逼	pik, piat
遁	tūn
遂	suī
遇	gū, bū
遊	iû
運	ūn, īn, ùn
遍	piàn, phiàn
過	kuè, kè, kò, koh, kòo, kuà, kù
遏	at
遐	hiah, hia, hiô, hiâ
道	tō
達	ta̍t
違	uî
遙	iâu
遛	liù
遜	sùn
遞	tē
遠	uán, hn̄g, huīnn
遣	khián
遨	gô, ngôo
適	sik
遭	tso
遮	jia, lia, tsia, tsiah, tsiâ, tsiô, gia
遲	tî
遴	lîn
遵	tsun
遷	tshian
選	suán
遹	u̍t
遺	uî, i
遼	liâu
避	pī, phiah
邀	iau, io
邁	māi
還	hîng, huân, hân, huān, hâinn
邊	pinn, pian
邏	lô
邑	ip
那	ná
邦	pang
邪	siâ
邱	khu
邵	siō
邸	tí
郁	hiok
郊	kau
郎	lông, nn̂g, lang
郝	hok
郡	kūn
部	pōo, phō
郭	kueh, kok, keh
郵	iû
都	too, to
鄉	hiong, hiunn, hionn
鄒	tsoo, tsau
鄔	oo
鄙	phí
鄧	tīng
鄭	tīng, tīnn, tēnn
鄰	lîn
酆	hong
酉	iú
酋	siû
酌	tsiok
配	phuè, phè
酒	tsiú
酥	soo
酪	lo̍k
酬	siû
酵	kànn, kà
酷	khok
酸	sng, suan, suinn, san
酺	pôo
醃	am, âm, iâm, iam
醇	sûn
醉	tsuì
醋	tshòo
醒	tshénn, tshínn, síng
醜	tshiú
醡	tsà
醫	i
醬	tsiùnn, tsiònn
醮	tsiò, tsiàu
醴	lé
釀	liōng, jiōng
采	tshái
釋	sik
里	lí
重	tiōng, tāng, tiông, tîng
野	iá
量	liōng, liông, niū, niû, niōo, niō, niôo
釐	lî
金	kim
釘	ting, tìng, tan
針	tsiam, tsam, tsim
釣	tiò, tiàu
釧	tshuan
釵	tshai, the
鈃	giang
鈍	tūn, tùn, tun
鈔	tshau
鈕	liú
鈗	ńg, uínn
鈞	kun
鈣	bián
鈴	lîng, ling, liâng
鈷	kóo
鈸	pua̍h, pua̍t
鉈	tô
鉎	sian, san
鉗	khînn, khiâm
鉛	iân
鉤	kau
鉸	ka
鉼	phiánn, pín
銀	gîn, gûn
銃	tshìng
銅	tâng
銎	khing
銓	tshuan
銘	bîng
銬	khàu
銲	huānn
銳	luē, juē
銷	siau
鋁	lū, lú
鋏	giap, ngeh
鋒	hong
鋟	tshìm, tshím, tshim
鋤	tî, tû
鋩	mê, mî
鋪	phoo
鋸	kì, kù
鋼	kǹg, kong
錄	lo̍k, lio̍k, li̍k
錐	tsui
錘	thuî
錚	tshānn
錠	tiānn, tīng
錢	tsînn, tsiân, tshiân
錦	kím, gím, gìm
錨	biâu, bâ
錫	siah, sik
錯	tshò, tshok
錶	pió
鍊	liān, liân
鍋	ue, ko, e
鍍	tōo
鍘	tsa̍h
鍛	tuàn, thuàn
鍤	tshiah
鍥	keh, kueh
鍵	kiān
鍼	tsiam
鍾	tsing, tsiong
鎈	tshenn, tsha
鎊	pōng
鎔	iûnn
鎖	só
鎚	thuî
鎧	khái
鎮	tìn
鏃	tso̍k
鏘	tshiong
鏡	kiànn
鏢	pio
鏨	tsām
鏽	siù
鐃	lâu, luâ, nâ
鐐	liâu
鐕	tshâm
鐘	tsing
鐳	luî, lui
鐵	thih, thiat
鑄	tsù
鑑	kàm
鑠	siak
鑢	lù, luē, lē
鑫	him
鑰	io̍k, io̍h
鑱	tshîm
鑼	lô
鑽	tsǹg, tsuìnn, tshǹg, tsuàn
鑾	luân
鑿	tsha̍k, tsho̍k
長	tn̂g, tiúnn, tióng, tiông, tshiâng, tsióng, tsiáng, tiónn
門	mn̂g, bûn, bîn, muî
閂	tshuànn
閃	siám
閉	pì
開	khui, khai
閏	lūn, jūn
閒	îng, hân
間	king, kan, kàn
閔	bín
閘	tsa̍h
閣	koh
閨	kui
閩	bân
閬	làng, lòng
閱	ua̍t, ia̍t
閹	iam
閻	giâm
闆	pán
闇	am
闊	khuah
闔	ha̍p, kha̍h
闕	khuat
闖	tshuàng
關	kuan, kuainn, kuinn
闡	tshián
闢	pi̍k
阮	gún, guán, uínn, ńg
阱	tsínn, tsénn
防	hông
阻	tsóo
阿	a, oo, o
陀	tô, tôo
附	hù, hū
陋	lōo
陌	bi̍k
降	kàng, hâng
限	hān, ān
陛	pè
陝	siám
陞	sing
陡	tóo
院	īnn, ìnn
陣	tīn, tsūn, sūn
除	tû, tî
陪	puê
陰	im, iam, lam
陳	tîn, tân
陵	lîng, niā
陶	tô
陷	hām
陸	lio̍k, lo̍k, la̍k
陽	iông, iâng, iûnn, iônn, niû, muî
隄	thê
隅	gû
隆	liông
隊	tuī
隍	hông
階	kai
隔	keh, kik
隕	ún
隘	ài
隙	khiah
際	tsè
障	tsiòng, tsiong, tsiàng
隧	suī
隨	suî
險	hiám
隱	ún
隴	lóng
隸	lē
隻	tsiah, tsik
雀	tshiok, tshik
雁	gān
雄	hiông, hîng
雅	ngá, ngé
集	tsi̍p
雇	kòo
雉	thī
雌	tshu
雍	iong
雕	tiau
雖	sui
雙	siang, song, sang
雜	tsa̍p
雞	ke, kue
離	lī, lî, li
難	lân, lān
雨	hōo, ú, í
雪	seh, suat, sap
雯	bûn
雲	hûn, ûn
零	lîng, lân
雷	luî
雹	pha̍uh, phàu, phau, phāu
雺	bông, môo
電	tiān
需	su
霄	siau
霆	tân, tîng
震	tsìn
霍	ho̍k, hok
霎	sap, tiap, sa̍p
霓	gê
霖	lîm
霜	sng, song
霞	hâ, hê
霧	bū
露	lōo, lo̍k, lòo
霸	pà
霹	phik
靂	li̍k
靈	lîng, liân
青	tshenn, tshinn, tshing
靖	tsīng
靘	tshínn
靜	tsīng, tsīnn, tsēnn
非	hui
靠	khò, khuà
面	bīn, biān
革	kik
靳	kìn
靴	hia
靶	pé
鞅	ióng
鞋	ê, uê, hâi
鞍	uann, an
鞏	khōng, kióng
鞘	siù, siò
鞠	kiok
鞦	tshiu, thiu
鞭	pian, pinn, mi
韆	tshian, tshan, khan
韋	uî
韌	jūn, lūn
韓	hân
韭	kú
音	im
韻	ūn
響	hiáng, hióng
頁	ia̍h
頂	tíng
頃	khíng, khing
項	hāng
順	sūn
頇	hân, han
須	su
頌	siōng
預	ī, ū
頑	guân
頒	pan
頓	tǹg, tùn, tuìnn
頕	tàm, tìm, thìm
頗	phó
領	niá, líng
頡	khiat
頦	hâi, huâi
頭	thâu, thiô, thôo, thô, tha̍h
頷	ām
頸	kún, kíng
頹	tuê
頻	pîn
題	tê, tuê
額	gia̍h, hia̍h, giā, gi̍k
顎	khok, kok, gok
顏	gân
願	guān
顛	tian, thian
類	luī
顢	bān
顧	kòo
顫	tsùn
顯	hián, hiánn
顱	lôo
顴	kuàn
風	hong, huang
颱	thai
颶	kū
颺	iānn, tshiûnn, tshiônn
飄	phiau
飆	phiau, pio
飛	pue, hui, hue, pe
食	tsia̍h, si̍t, tsiā
飢	ki
飫	uì
飯	pn̄g, puīnn, huān
飲	ím
飼	tshī
飽	pá, páu
飾	sik
餃	kiáu
餅	piánn
餉	hiòng
養	ióng, iúnn, iáng, iónn
餌	jī, lī
餐	tshan
餒	lué
餓	gō
餘	î, û
餞	tsiàn, tsián, tsian
餡	ānn
館	kuán
餲	ai
餾	liū, liû
饅	bán, bân
饋	kuī
饌	tsuān
饑	ki
饒	liâu, jiâu
饗	hiáng
饞	sâi
首	siú
香	hiunn, hiong, hiang, hionn
馝	pih
馨	hiong, hing
馬	bé, má, ma
馮	pâng
馳	tî
馴	sûn
駁	poh, pok, phoh
駐	tsù, tū, tsū
駕	kà
駙	hū
駛	sái, sú
駝	tô
駟	sù
駱	lo̍k, lo̍h
駿	tsùn
騎	khiâ, khî
騙	phiàn
騫	khian
騰	thîng
騷	so
騾	lê, lô
驅	khu
驍	hiau
驕	kiau
驗	giām
驚	kiann, kenn, kinn, king
驛	ia̍h, i̍k
驢	lî, lû
骨	kut
骰	tâu, tāu
骱	kái
骸	hâi
骼	keh
骿	phiann
髓	tshué, tshé, tshuí
體	thé, thái, thué
高	ko, kau
髡	khun
髮	huat
髻	kuè, kè
鬃	tsang
鬆	sang, song
鬍	hôo
鬖	sàm
鬚	tshiu, su
鬢	pìn
鬥	tàu, tòo
鬧	nāu, lāu
鬮	khau
鬱	ut
鬻	io̍k
鬼	kuí
魁	khue
魂	hûn
魄	phik
魅	bī
魍	báng, bóng
魎	lióng
魏	guī
魑	lî
魔	môo
魚	hî, hû, gû
魠	thoh, thuh
魩	but
魬	puánn
魯	lóo, luh
魴	hang
魽	kam
鮊	pha
鮑	pau, pāu
鮕	koo
鮘	tai
鮡	thiâu
鮢	tsu
鮫	ka
鮮	tshinn, sian, sián
鮸	bián
